Date,City,Mean Temp,DAY OF THE WEEK
2016-01-01,NEW YORK NY,38,FRIDAY
2016-01-02,NEW YORK NY,36,SATURDAY
2016-01-03,NEW YORK NY,40,SUNDAY
2016-01-04,NEW YORK NY,25,MONDAY
2016-01-05,NEW YORK NY,20,TUESDAY
2016-01-06,NEW YORK NY,33,WEDNESDAY
2016-01-07,NEW YORK NY,38.5,THURSDAY
2016-01-08,NEW YORK NY,38.5,FRIDAY
2016-01-09,NEW YORK NY,43.5,SATURDAY
2016-01-10,NEW YORK NY,49.5,SUNDAY
2016-01-11,NEW YORK NY,33,MONDAY
2016-01-12,NEW YORK NY,34.5,TUESDAY
2016-01-13,NEW YORK NY,26,WEDNESDAY
2016-01-14,NEW YORK NY,30,THURSDAY
2016-01-15,NEW YORK NY,42.5,FRIDAY
2016-01-16,NEW YORK NY,47,SATURDAY
2016-01-17,NEW YORK NY,36,SUNDAY
2016-01-18,NEW YORK NY,24.5,MONDAY
2016-01-19,NEW YORK NY,22,TUESDAY
2016-01-20,NEW YORK NY,32,WEDNESDAY
2016-01-21,NEW YORK NY,31,THURSDAY
2016-01-22,NEW YORK NY,25.5,FRIDAY
2016-01-23,NEW YORK NY,25.5,SATURDAY
2016-01-24,NEW YORK NY,27.5,SUNDAY
2016-01-25,NEW YORK NY,33.5,MONDAY
2016-01-26,NEW YORK NY,43,TUESDAY
2016-01-27,NEW YORK NY,40.5,WEDNESDAY
2016-01-28,NEW YORK NY,37,THURSDAY
2016-01-29,NEW YORK NY,35.5,FRIDAY
2016-01-30,NEW YORK NY,33.5,SATURDAY
2016-01-31,NEW YORK NY,46,SUNDAY
2016-02-01,NEW YORK NY,51.5,MONDAY
2016-02-02,NEW YORK NY,44,TUESDAY
2016-02-03,NEW YORK NY,50.5,WEDNESDAY
2016-02-04,NEW YORK NY,51.5,THURSDAY
2016-02-05,NEW YORK NY,37.5,FRIDAY
2016-02-06,NEW YORK NY,35,SATURDAY
2016-02-07,NEW YORK NY,40,SUNDAY
2016-02-08,NEW YORK NY,33.5,MONDAY
2016-02-09,NEW YORK NY,31.5,TUESDAY
2016-02-10,NEW YORK NY,35,WEDNESDAY
2016-02-11,NEW YORK NY,24.5,THURSDAY
2016-02-12,NEW YORK NY,21,FRIDAY
2016-02-13,NEW YORK NY,14,SATURDAY
2016-02-14,NEW YORK NY,7,SUNDAY
